DATE,M2SL,M2per
1959-01-01,286.6,0.3
1959-02-01,287.7,0.38
1959-03-01,289.2,0.52
1959-04-01,290.1,0.31
1959-05-01,292.2,0.72
1959-06-01,294.1,0.65
1959-07-01,295.2,0.37
1959-08-01,296.4,0.4
1959-09-01,296.7,0.1
1959-10-01,296.5,-0.07
1959-11-01,297.1,0.2
1959-12-01,297.8,0.24
1960-01-01,298.2,0.13
1960-02-01,298.4,0.07
1960-03-01,299.3,0.3
1960-04-01,300.1,0.27
1960-05-01,300.9,0.27
1960-06-01,302.3,0.46
1960-07-01,304.1,0.59
1960-08-01,306.9,0.91
1960-09-01,308.4,0.49
1960-10-01,309.5,0.36
1960-11-01,310.9,0.45
1960-12-01,312.4,0.48
1961-01-01,314.1,0.54
1961-02-01,316.5,0.76
1961-03-01,318.3,0.57
1961-04-01,319.9,0.5
1961-05-01,322.2,0.71
1961-06-01,324.3,0.65
1961-07-01,325.6,0.4
1961-08-01,327.6,0.61
1961-09-01,329.5,0.58
1961-10-01,331.1,0.48
1961-11-01,333.4,0.69
1961-12-01,335.5,0.63
1962-01-01,337.5,0.59
1962-02-01,340.1,0.76
1962-03-01,343.1,0.87
1962-04-01,345.5,0.69
1962-05-01,347.5,0.58
1962-06-01,349.3,0.52
1962-07-01,350.8,0.43
1962-08-01,352.8,0.57
1962-09-01,354.9,0.59
1962-10-01,357.2,0.64
1962-11-01,359.8,0.72
1962-12-01,362.7,0.8
1963-01-01,365.2,0.68
1963-02-01,367.9,0.73
1963-03-01,370.7,0.76
1963-04-01,373.3,0.7
1963-05-01,376.1,0.74
1963-06-01,378.4,0.61
1963-07-01,381.1,0.71
1963-08-01,383.6,0.65
1963-09-01,386,0.62
1963-10-01,388.3,0.59
1963-11-01,391.5,0.82
1963-12-01,393.2,0.43
1964-01-01,395.2,0.51
1964-02-01,397.6,0.6
1964-03-01,399.8,0.55
1964-04-01,401.7,0.47
1964-05-01,404.2,0.62
1964-06-01,407.1,0.71
1964-07-01,410.1,0.73
1964-08-01,413.4,0.8
1964-09-01,416.9,0.84
1964-10-01,419.1,0.52
1964-11-01,422,0.69
1964-12-01,424.7,0.64
1965-01-01,427.5,0.65
1965-02-01,430.4,0.67
1965-03-01,433.2,0.65
1965-04-01,435.4,0.51
1965-05-01,437.1,0.39
1965-06-01,440.1,0.68
1965-07-01,442.9,0.63
1965-08-01,445.8,0.65
1965-09-01,449.5,0.82
1965-10-01,452.6,0.68
1965-11-01,455.7,0.68
1965-12-01,459.2,0.76
1966-01-01,462,0.61
1966-02-01,464.6,0.56
1966-03-01,467.2,0.56
1966-04-01,469.3,0.45
1966-05-01,470.1,0.17
1966-06-01,471.2,0.23
1966-07-01,470.9,-0.06
1966-08-01,472.6,0.36
1966-09-01,475.4,0.59
1966-10-01,475.7,0.06
1966-11-01,477.3,0.34
1966-12-01,480.2,0.6
1967-01-01,481.6,0.29
1967-02-01,485.1,0.72
1967-03-01,489.7,0.94
1967-04-01,492.1,0.49
1967-05-01,497.2,1.03
1967-06-01,502,0.96
1967-07-01,506.3,0.85
1967-08-01,510.8,0.88
1967-09-01,514.7,0.76
1967-10-01,518.2,0.68
1967-11-01,521.2,0.58
1967-12-01,524.8,0.69
1968-01-01,527.4,0.49
1968-02-01,530.4,0.57
1968-03-01,533.2,0.53
1968-04-01,535.7,0.47
1968-05-01,538.9,0.59
1968-06-01,542.6,0.68
1968-07-01,545.6,0.55
1968-08-01,549.4,0.69
1968-09-01,553.6,0.76
1968-10-01,557.6,0.72
1968-11-01,562.4,0.85
1968-12-01,566.8,0.78
1969-01-01,569.3,0.44
1969-02-01,571.9,0.45
1969-03-01,574.4,0.44
1969-04-01,575.7,0.23
1969-05-01,576.5,0.14
1969-06-01,578.5,0.35
1969-07-01,579.5,0.17
1969-08-01,580.1,0.1
1969-09-01,582.1,0.34
1969-10-01,583.4,0.22
1969-11-01,585.4,0.34
1969-12-01,587.9,0.43
1970-01-01,589.6,0.29
1970-02-01,586.3,-0.56
1970-03-01,587.3,0.17
1970-04-01,588.4,0.19
1970-05-01,591.5,0.52
1970-06-01,595.2,0.62
